"ITEM","CONDITION","DIRECTIONAL","TEMPORAL","VERB","SENTENCE","TYPE","ANSWER1","ANSWER2","LIST"
32,1,"ambiguous","durative","atelic","Der Rekrut*radelte*über das*Gelände,*und zwar*eine halbe Stunde lang,*in*klirrender Kälte.","item","ja","nein",1
101,100,".",".",".","Das Mädchen*träumte*noch immer*von dem*jungen König,*obwohl*er*verheiratet war.","filler","ja","nein",1
102,101,".",".",".","Der Diamant*kochte*das Holz*aus der Datenbank,*weil*das vorhandene Bildmaterial*aus reinen Texten*bestand.","filler","ja","nein",1
103,101,".",".",".","Der Anwalt*belog*die Brille*beim Abendessen*und*beschimpfte*die Müslischale*dabei.","filler","ja","nein",1
104,101,".",".",".","Das Feuerwehrauto*schimpfte*mit dem Grill*beim Mittagessen,*bevor*es*einen Satelliten*in den Orbit brachte.","filler","ja","nein",1
105,100,".",".",".","Der Pfarrer*blickte*gelassen*in den Altar*und*setzte*die Predigt*fort.","filler","ja","nein",1
106,100,".",".",".","Die Designerin*begeisterte*das Publikum*mit*ihren*femininen*Kreationen.","filler","ja","nein",1
107,100,".",".",".","Der Kandidat*debattierte*mit*den Konkurrenten*auf der Fensterbank,*während*die Sonne *schien.","filler","ja","nein",1
108,101,".",".",".","Der Kaufmann*lachte*mit dem Kissen*und*nahm*keine Rücksicht*auf die Schüler.","filler","ja","nein",1
109,100,".",".",".","Der Komplize*pfiff*laut*durch die Finger,*damit*der Dieb*die Warnung *verstand.","filler","ja","nein",1
110,101,".",".",".","Die Prinzessin*belog*die Blätter*einer Douglasie,*obwohl*sie*das eigentlich*nicht machen wollte.","filler","ja","nein",1
111,101,".",".",".","Linda*goss*den Bademantel*auf der Wiese,*nachdem*der Hochschullehrer*einen erfolgreichen Film*veröffentlichte.","filler","ja","nein",1
112,100,".",".",".","Die Schüler*eilten*aus dem*Schulgebäude,*weil*der Feuermelder*laut*dröhnte.","filler","ja","nein",1
113,100,".",".",".","Der Mitarbeiter*wählte*eine Abkürzung*quer*durch*die Fertigungshalle.","filler","ja","nein",1
114,100,".",".",".","Die Großmutter*fegte*den Boden*mit einem Strohbesen*und*lies*den Staub*aufwirbeln.","filler","ja","nein",1
115,100,".",".",".","Der Chef*kündigte*die Köchin,*weil*ihr Verhalten*unangemessen war.","filler","ja","nein",1
116,100,".",".",".","Die Nutzer*arbeiteten*lange*mit dem Programm,*nachdem*sie*die Funktionen*verstanden hatten.","filler","ja","nein",1
117,100,".",".",".","Der Zauberer*verschwand*auf die*Bühne*mit viel Krach,*während*das Publikum *tobte.","filler","ja","nein",1
118,100,".",".",".","Die Kundin*sprach*den Mitarbeiter*an,*weil*sie*ihren Auftrag*stornieren wollte.","filler","ja","nein",1
119,100,".",".",".","Der Koch*experimentierte*mit*exotischen Speisen,*obwohl*er*nur wenig*Zeit hatte.","filler","ja","nein",1
120,100,".",".",".","Der Ladendieb*gestand*auf dem*Revier,*damit*er*eine Strafmilderung*bekam.","filler","ja","nein",1
121,100,".",".",".","Der Geschäftsmann*kaufte*den Fußballverein*und*hielt*ihn lange*am Leben..","filler","ja","nein",1
122,100,".",".",".","Der Nachbar*schimpfte*mit*dem Hundebesitzer,*weil*seine Geduld*am Ende war.","filler","ja","nein",1
123,100,".",".",".","Das Eichhörnchen*sprang*auf das*Schulgebäude*und*änderte blitzschnell *die Richtung.","filler","ja","nein",1
124,100,".",".",".","Die Künstlerin*arbeitete*mit dem Pinsel*ohne Pause,*denn*sie wollte*den Auftrag*schnell erledigen.","filler","ja","nein",1
125,100,".",".",".","Die Abgeordneten*diskutierten*über das*Thema*und*fanden*einen guten Kompromiss.","filler","ja","nein",1
126,100,".",".",".","Die Gruppe*bastelte*mit den*Perlen,*jedoch*langweilten*sie sich*sehr.","filler","ja","nein",1
127,100,".",".",".","Der Betriebsleiter*suchte*nach*einem Angestellten,*indem*er*ihn ausrufen *ließ.","filler","ja","nein",1
128,100,".",".",".","Der Politiker*sprach*laut*und*beantwortete*alle Fragen*der Journalisten.","filler","ja","nein",1
129,100,".",".",".","Der Bruder*brach*mit*der Schwester,*obwohl*er*darüber*sehr traurig war.","filler","ja","nein",1
130,100,".",".",".","Das Volk*hörte*auf den*Herrscher,*obwohl*die Opposition*davon abriet.","filler","ja","nein",1
131,100,".",".",".","Die Tiere*tranken*aus einer großen Pfütze *mitten auf der Fläche,*weil*sie*sehr durstig*waren.","filler","ja","nein",1
132,100,".",".",".","Der Vorsitzende*erzählte*von dem*Wahlerfolg*und*prahlte*mit den*eindeutigen Ergebnissen.","filler","ja","nein",1
133,100,".",".",".","Der Passagier*fragte*über den*Kabinendruck*und*lauschte neugierig*der Antwort*des Flugbegleiters.","filler","ja","nein",1
134,100,".",".",".","Das Baby*tanzte*fröhlich*im Kindersitz,*als*es*die lustige Musik*hörte.","filler","ja","nein",1
135,100,".",".",".","Die Buben*glaubten*an den*Weihnachtsmann,*nachdem*ihr Opa*die Geschichte*erzählt hatte.","filler","ja","nein",1
136,100,".",".",".","Die Klasse*plante*einen Ausflug*ins Gebirge,*wo*sie*in den Jugendherberge*übernachten sollte.","filler","ja","nein",1
137,100,".",".",".","Der Hirsch*starrte*gebannt*in den Wald *und*lauschte*den Geräuschen*der Umgebung.","filler","ja","nein",1
138,100,".",".",".","Der Professor*berichtete*von der*langweiligen Urlaubsreise,*bevor*er*in den Saal*kam.","filler","ja","nein",1
139,100,".",".",".","Die Putzfrau*wischte sich*die Finger*am Kittel sauber*und*verstaute*die Dosen*im Kühlfach.","filler","ja","nein",1
140,100,".",".",".","Der Tierarzt*untersuchte*den Kater*und*konnte*keine äußeren Verletzungen*feststellen.","filler","ja","nein",1
141,100,".",".",".","Die Politikerin*hungerte*in einem*finsteren Gefängnis,*obwohl*sie*vollkommen*unschuldig war.","filler","ja","nein",1
142,100,".",".",".","Die Kanzlerin*reagierte*überrascht,*aber*nicht*allzu enttäuscht.","filler","ja","nein",1
143,101,".",".",".","Der Mann*unterstützte*die Kühe,*indem*er*ihnen*spezielle Reizwäsche*aus Frankreich brachte.","filler","ja","nein",1
144,101,".",".",".","Die Konditorin*unterschrieb*das Glück*ohne nachzudenken,*wobei*sich die Lage*mit jedem Tag*verschlechterte.","filler","ja","nein",1
145,100,".",".",".","Der Fahrer*rief*den Kunden*vor der Abholung an,*um*den Termin*zu bestätigen.","filler","ja","nein",1
146,101,".",".",".","Die Informatikerin*kuschelte*mit dem Buch,*da*der Zugang*von Osten*seit Wochen*gesperrt war.","filler","ja","nein",1
147,101,".",".",".","Die Tomate*schuppte*das Wasser*aus der Tasse,*nachdem*sie*nach Frankreich*emigrierte.","filler","ja","nein",1
148,101,".",".",".","Der Elefant*aß*einen Locher*in der Garage,*aber*beschränkte sich*nur auf*die Plastikteile.","filler","ja","nein",1
149,101,".",".",".","Die Hexe*erklärte*den Kopf,*als*die alte Frau*auf dem Zaun*saß.","filler","ja","nein",1
150,100,".",".",".","Die Kinder*spielten*ganz leise*über den Spielplatz,*damit*sie*nicht entdeckt wurden.","filler","ja","nein",1
151,100,".",".",".","Der Hausmeister*suchte*nach*einer Kerze,*da*der Strom*ausgefallen war.","filler","ja","nein",1
152,101,".",".",".","Die Amsel*zählte*die Ameisen*im Garten,*jedoch*unterbrach*ihr*der Tischler.","filler","ja","nein",1
153,100,".",".",".","Der Bankangestellte*stieg*ungern*aus dem Bett,*da*ein harter Tag*bevorstand.","filler","ja","nein",1
154,100,".",".",".","Der Matrose*stand*stolz*auf dem Mast,*während*das Schiff*im Hafen*ruhte.","filler","ja","nein",1
155,100,".",".",".","Die Mutter*sprach*mit*ihrer Tochter,*als*diese*nach Hause kam.","filler","ja","nein",1
156,101,".",".",".","Der Opa*gewann*alle Steine*im Wettbewerb*bei*dem Hammer*im Wald.","filler","ja","nein",1
157,100,".",".",".","Der Fußballspieler*wartete*auf seine*Freundin,*weil*er sie*überraschen wollte.","filler","ja","nein",1
158,101,".",".",".","Die Gemeinde*hoffte*auf die Außerirdischen,*jedoch*gab es*schon seit Jahren*keine neuen Entführungen.","filler","ja","nein",1
159,100,".",".",".","Der Vogel*zwitscherte*in der*Baumkrone*und*erfreute*die umstehenden*Menschen.","filler","ja","nein",1
160,100,".",".",".","Der Manager*lobte*die Praktikantin,*weil*sie*sehr kreativ*und*motiviert war.","filler","ja","nein",1
161,100,".",".",".","Der Büroangestellte*berichtete*von dem*Vertrag,*als*der Chef*ihn*dazu aufforderte.","filler","ja","nein",1
162,100,".",".",".","Die Angestellte*arbeitete*ungern*an dem Brief,*da*sie*Überstunden*machen musste.","filler","ja","nein",1
163,100,".",".",".","Die Reitschüler*eilten*über die*Stahltür*und*versteckten sich*hinter den*Strohballen.","filler","ja","nein",1
164,101,".",".",".","Die Schwester*hielt*eine Flasche*mit Wasser,*um*die Seele*vom Körper*zu trennen.","filler","ja","nein",1
165,100,".",".",".","Die Liebhaberin*weinte*aus Wut*und*zerstörte*all*die Erinnerungsfotos.","filler","ja","nein",1
166,100,".",".",".","Der Erstklässler*schrieb*unleserlich*in sein Heft,*obwohl*er*ein guter*Schüler war.","filler","ja","nein",1
167,100,".",".",".","Der Held*hat*große Taten*vollbracht,*aber*die Prinzessin*wollte ihn*nicht heiraten.","filler","ja","nein",1
168,100,".",".",".","Die Schwimmerin*stieg*aus dem*Wasser am Strand,*als*es*zu dämmern*begann.","filler","ja","nein",1
169,100,".",".",".","Der Kommissar*antwortete*auf die Fragen*der Reporter*und*übte sich*dabei*in Geduld.","filler","ja","nein",1
170,101,".",".",".","Die Busfahrerin*würzte*den Kaffee*mit Kardamom,*um*die Bücher*schwimmen zu lassen.","filler","ja","nein",1
171,101,".",".",".","Ein Applaus*öffnete*die Tasse*im März,*jedoch*mangelte es*an Literatur*und Weblinks.","filler","ja","nein",1
172,100,".",".",".","Der Achtklässler*lernte*fleißig*aus dem Lehrbuch,*da*er*bald einen Test*schreiben musste.","filler","ja","nein",1
173,100,".",".",".","Der Künstler*malte*auch*schöne Menschen*und*dramatische Stadtszenen.","filler","ja","nein",1
174,100,".",".",".","Der Vater*schimpfte*sehr laut*mit dem Sohn,*als*er*von den schlechten Schulnoten*erfuhr.","filler","ja","nein",1
175,101,".",".",".","Der Flaschner*zersägte*die Zeitschrift*und*verarbeitete*sie*zur Dachrinne.","filler","ja","nein",1
176,101,".",".",".","Der Schaffner*verkleidete*die Münze*zum Fasching,*indem*er*ihr*eine Maske anzog.","filler","ja","nein",1
177,101,".",".",".","Die Handwerkerin*schlug*den Salat*mit einer Gabel,*damit*die Firmenleitung*den Unternehmensvorstand*verkauft.","filler","ja","nein",1
178,101,".",".",".","Der Mechaniker*lackierte sich*die Wimpern*vor dem Spiegel,*weil*er*einen sehr großen Schädel*hatte.","filler","ja","nein",1
179,101,".",".",".","Der Elektriker*las*ein Buch*über Nashörner,*während*seine Tochter*den Panzer*schrumpfte.","filler","ja","nein",1
180,101,".",".",".","Die Zahnärztin*sprach*mit dem Briefkasten*über ihre Urlaubspläne,*da*diese*mit nach Mallorca*fahren sollte.","filler","ja","nein",1
181,100,".",".",".","Der Regisseur*dachte*besorgt*an die Aufführung,*als*er*das Theater*betrat.","filler","ja","nein",1
182,101,".",".",".","Die Köchin*stritt*mit dem Kellner*wegen Kleinigkeiten,*weil*der Tintenfisch*einen Gepäckspanner*stornierte.","filler","ja","nein",1
183,101,".",".",".","Das Publikum*trank*die Muffins*mit Schokolade,*während*der Schauspieler*mit einem Pinguin*schwamm.","filler","ja","nein",1
184,100,".",".",".","Die Angeklagte*gestand*die Taten*vor Gericht *und*wurde*zur Todesstrafe*verurteilt.","filler","ja","nein",1
185,100,".",".",".","Der Athlet*trainierte*wenig*und*völlig*unsystematisch.","filler","ja","nein",1
186,101,".",".",".","Die Diebin*druckte*das Auto*auf öffentlichen Straßen,*aber*die Kosten*hat sie*unterschätzt.","filler","ja","nein",1
187,100,".",".",".","Der Verdächtige*sprach*mit*schneller Stimme*und*räusperte sich*immer wieder.","filler","ja","nein",1
188,101,".",".",".","Die Wolle*drohte*dem Topf*mit dem Messer,*wobei*die Sonne*sich hinter den Sternen*versteckte.","filler","ja","nein",1
189,100,".",".",".","Die Kellnerin*bediente*seit mehreren Stunden*in dem Café*und*es taten*ihr*die Füße weh.","filler","ja","nein",1
190,101,".",".",".","Die Frau*verlor*ein Haar*und*der Mann*küsste*die Banane.","filler","ja","nein",1
191,101,".",".",".","Die Friseurin*schminkte*den Hamster*am Morgen,*indem*sie*die Pinsel*unter die Oberhaut gespritzte.","filler","ja","nein",1
192,101,".",".",".","Die Maurer*wuschen*den Kuchen*mit Seife,*während*die Lackierer*den Bruttoverdienst*abbauten.","filler","ja","nein",1
193,100,".",".",".","Die Frau*las*ungern*auf den Handschriften,*bevor*die Dokumente*überprüft wurden.","filler","ja","nein",1
194,100,".",".",".","Die Nonne*betete*leidenschaftlich*über dem Altar,*bevor*sie*die Kapelle*verließ.","filler","ja","nein",1
195,101,".",".",".","Keine Gurke*stand*auf dem Kind,*wobei*die Teppiche*mehrere Menschen*umgebracht hatten.","filler","ja","nein",1
196,100,".",".",".","Der Hubschrauber*landete*auf dem*Flughafen,*obwohl*die Besatzung*keine Erlaubnis*hatte.","filler","ja","nein",1
1001,0,".",".",".","In Internetforen*diskutierten*Eltern,*bevor*sie*mit den Lehrern*sprachen.","exercise","ja","nein",1
1002,0,".",".",".","Beide Birnen*wurden*von Freiwilligen betrieben,*wobei*es*an der Buchhaltung haperte.","exercise","ja","nein",1
1003,0,".",".",".","Das Fruchtfleisch*sang*ein Lied,*bevor*die Frucht*klagte.","exercise","ja","nein",1
1004,0,".",".",".","Das Kind*klagte*über Schmerzen,*während*die Mutter*Milchreis kochte.","exercise","ja","nein",1
1005,0,".",".",".","Das Paar*hatte*vier Kinder,*aber*wollte*nur zwei.","exercise","ja","nein",1
1006,0,".",".",".","Das Team*wollte*kein Spiel*gewinnen,*während*es dem Trainer*egal war.","exercise","ja","nein",1
1007,0,".",".",".","Der Bundesrat*schien*sich zu treffen,*während*die Journalisten*vor der Türe warteten.","exercise","ja","nein",1
1008,0,".",".",".","Die UN*riefen*Myanmar dazu auf,*die Verfolgung*der Rohingya*zu beenden.","exercise","ja","nein",1
1009,0,".",".",".","Der Schwerpunkt*änderte sich,*während*der Radrennfahrer*zur Seite kippte.","exercise","ja","nein",1
1,1,"ambiguous","durative","atelic","Der Lehrer*spazierte*über den*Schulhof,*und zwar*zwei Minuten lang,*mit*großen Schritten.","item","ja","nein",2
2,2,"ambiguous","durative","telic","Der Ingenieur*ging*über die*Großbaustelle,*und zwar*zwanzig Minuten lang,*mit*höchster Konzentration.","item","ja","nein",2
3,6,"telic","durative","telic","Der Mann*ging*zum*Bahnhofsvorplatz,*und zwar*eine Minute lang,*bei*kaltem Nieselregen.","item","ja","nein",2
4,5,"telic","durative","atelic","Der Rentner*spazierte*zum*Friedhof,*und zwar*zwölf Minuten lang,*in Gedanken*versunken.","item","ja","nein",2
5,4,"ambiguous","completive","telic","Die Blattlaus*kletterte*über das*Blütenblatt,*und zwar*in dreißig Sekunden,*unter Beobachtung*des Forschers.","item","ja","nein",2
6,3,"ambiguous","completive","atelic","Der Krebs*wanderte*über das*Korallenriff,*und zwar*in einer halben Stunde,*bei*Ebbe.","item","ja","nein",2
7,7,"telic","completive","atelic","Der Troll*wanderte*zur*Brücke,*und zwar*in acht Minuten,*um den Schatz*zu verstecken.","item","ja","nein",2
8,8,"telic","completive","telic","Der Tourist*kletterte*zur*Hochebene,*und zwar*in zwei Stunden,*mit*großer Begeisterung.","item","ja","nein",2
9,1,"ambiguous","durative","atelic","Der Jugendliche*schlenderte*über den*Marktplatz,*und zwar*vierzig Sekunden lang,*auf der Suche*nach seiner Freundin.","item","ja","nein",2
10,2,"ambiguous","durative","telic","Der Rennfahrer*raste*über die*Rennstrecke,*und zwar*sieben Minuten lang,*unter Beobachtung*der Fans.","item","ja","nein",2
11,6,"telic","durative","telic","Der Vertreter*raste*zum*Messegelände,*und zwar*dreizehn Minuten lang,*bei*schlechtem Wetter.","item","ja","nein",2
12,5,"telic","durative","atelic","Der Händler*schlenderte*zum*Flohmarkt,*und zwar*zehn Minuten lang,*um Schnäppchen*zu ergattern.","item","ja","nein",2
13,4,"ambiguous","completive","telic","Der Trainer*rannte*über den*Sportplatz,*und zwar*in zwanzig Sekunden,*mit*voller Motivation.","item","ja","nein",2
14,3,"ambiguous","completive","atelic","Der Professor*lief*über den*Brechtbau,*und zwar*in fünf Minuten,*um einen Vortrag*zu halten.","item","ja","nein",2
15,7,"telic","completive","atelic","Die Ratte*lief*zum*Schiff,*und zwar*in neun Minuten,*ohne den Kater*zu wecken.","item","ja","nein",2
16,8,"telic","completive","telic","Der Junge*rannte*zum*Spielplatz,*und zwar*in drei Minuten,*um seinen Freund*zu finden.","item","ja","nein",2
17,1,"ambiguous","durative","atelic","Die Möwe*segelte*über den*Hafen,*und zwar*sieben Minuten lang,*auf Suche*nach Futter.","item","ja","nein",2
18,2,"ambiguous","durative","telic","Der Kormoran*flog*über die*Insel,*und zwar*zehn Minuten lang,*bei*brütender Hitze.","item","ja","nein",2
19,6,"telic","durative","telic","Der Storch*flog*zum*Sumpf,*und zwar*vierzig Minuten lang,*mit*knurrendem Magen.","item","ja","nein",2
20,5,"telic","durative","atelic","Die Crew*segelte*zum*Mittelmeer,*und zwar*zwei Stunden lang,*bei*Seenebel.","item","ja","nein",2
21,4,"ambiguous","completive","telic","Der Cowboy*fuhr*über die*Prärie,*und zwar*in fünf Tagen,*in*glühender Hitze.","item","ja","nein",2
22,3,"ambiguous","completive","atelic","Der Offizier*ritt*über das*Schlachtfeld,*und zwar*in drei Stunden,*in*eisiger Kälte.","item","ja","nein",2
23,7,"telic","completive","atelic","Der Bauer*ritt*zum*Stoppelfeld,*und zwar*in fünfzehn Minuten,*bei*strahlendem Sonnenschein.","item","ja","nein",2
24,8,"telic","completive","telic","Der Knecht*fuhr*zur*Weide,*und zwar*in drei Minuten,*auf Befehl*seines Herrn.","item","ja","nein",2
25,1,"ambiguous","durative","atelic","Der Gefreite*schlich*über den*Kasernenplatz,*und zwar*sieben Minuten lang,*auf Befehl*vom Leutnant.","item","ja","nein",2
26,2,"ambiguous","durative","telic","Der Pfadfinder*marschierte*über den*Zeltplatz,*und zwar*fünf Minuten lang,*unter der Anleitung*des Rangers.","item","ja","nein",2
27,6,"telic","durative","telic","Der Ehemann*marschierte*zum*Hinterhof,*und zwar*zwei Minuten lang,*unter der Beobachtung*seiner Frau.","item","ja","nein",2
28,5,"telic","durative","atelic","Der Soldat*schlich*zum*Festplatz,*und zwar*zwölf Minuten lang,*mit*konzentriertem Blick.","item","ja","nein",2
29,4,"ambiguous","completive","telic","Das Kind*kroch*über den*Tunnel,*und zwar*in drei Minuten,*unter der Anleitung*der Sportlehrerin.","item","ja","nein",2
30,3,"ambiguous","completive","atelic","Der Clown*radelte*über die*Arena,*und zwar*in vier Minuten,*als Teil*seines Auftritts.","item","ja","nein",2
31,7,"telic","completive","atelic","Der Schauspieler*radelte*zur*Bühne,*und zwar*in vier Minuten,*unter der Anleitung*des Regisseurs.","item","ja","nein",2
32,8,"telic","completive","telic","Der Rekrut*kroch*zum*Gelände,*und zwar*in einer halben Stunde,*in*klirrender Kälte.","item","ja","nein",2
101,100,".",".",".","Das Mädchen*träumte*noch immer*von dem*jungen König,*obwohl*er*verheiratet war.","filler","ja","nein",2
102,101,".",".",".","Der Diamant*kochte*das Holz*aus der Datenbank,*weil*das vorhandene Bildmaterial*aus reinen Texten*bestand.","filler","ja","nein",2
103,101,".",".",".","Der Anwalt*belog*die Brille*beim Abendessen*und*beschimpfte*die Müslischale*dabei.","filler","ja","nein",2
104,101,".",".",".","Das Feuerwehrauto*schimpfte*mit dem Grill*beim Mittagessen,*bevor*es*einen Satelliten*in den Orbit brachte.","filler","ja","nein",2
105,100,".",".",".","Der Pfarrer*blickte*gelassen*in den Altar*und*setzte*die Predigt*fort.","filler","ja","nein",2
106,100,".",".",".","Die Designerin*begeisterte*das Publikum*mit*ihren*femininen*Kreationen.","filler","ja","nein",2
107,100,".",".",".","Der Kandidat*debattierte*mit*den Konkurrenten*auf der Fensterbank,*während*die Sonne *schien.","filler","ja","nein",2
108,101,".",".",".","Der Kaufmann*lachte*mit dem Kissen*und*nahm*keine Rücksicht*auf die Schüler.","filler","ja","nein",2
109,100,".",".",".","Der Komplize*pfiff*laut*durch die Finger,*damit*der Dieb*die Warnung *verstand.","filler","ja","nein",2
110,101,".",".",".","Die Prinzessin*belog*die Blätter*einer Douglasie,*obwohl*sie*das eigentlich*nicht machen wollte.","filler","ja","nein",2
111,101,".",".",".","Linda*goss*den Bademantel*auf der Wiese,*nachdem*der Hochschullehrer*einen erfolgreichen Film*veröffentlichte.","filler","ja","nein",2
112,100,".",".",".","Die Schüler*eilten*aus dem*Schulgebäude,*weil*der Feuermelder*laut*dröhnte.","filler","ja","nein",2
113,100,".",".",".","Der Mitarbeiter*wählte*eine Abkürzung*quer*durch*die Fertigungshalle.","filler","ja","nein",2
114,100,".",".",".","Die Großmutter*fegte*den Boden*mit einem Strohbesen*und*lies*den Staub*aufwirbeln.","filler","ja","nein",2
115,100,".",".",".","Der Chef*kündigte*die Köchin,*weil*ihr Verhalten*unangemessen war.","filler","ja","nein",2
116,100,".",".",".","Die Nutzer*arbeiteten*lange*mit dem Programm,*nachdem*sie*die Funktionen*verstanden hatten.","filler","ja","nein",2
117,100,".",".",".","Der Zauberer*verschwand*auf die*Bühne*mit viel Krach,*während*das Publikum *tobte.","filler","ja","nein",2
118,100,".",".",".","Die Kundin*sprach*den Mitarbeiter*an,*weil*sie*ihren Auftrag*stornieren wollte.","filler","ja","nein",2
119,100,".",".",".","Der Koch*experimentierte*mit*exotischen Speisen,*obwohl*er*nur wenig*Zeit hatte.","filler","ja","nein",2
120,100,".",".",".","Der Ladendieb*gestand*auf dem*Revier,*damit*er*eine Strafmilderung*bekam.","filler","ja","nein",2
121,100,".",".",".","Der Geschäftsmann*kaufte*den Fußballverein*und*hielt*ihn lange*am Leben..","filler","ja","nein",2
122,100,".",".",".","Der Nachbar*schimpfte*mit*dem Hundebesitzer,*weil*seine Geduld*am Ende war.","filler","ja","nein",2
123,100,".",".",".","Das Eichhörnchen*sprang*auf das*Schulgebäude*und*änderte blitzschnell *die Richtung.","filler","ja","nein",2
124,100,".",".",".","Die Künstlerin*arbeitete*mit dem Pinsel*ohne Pause,*denn*sie wollte*den Auftrag*schnell erledigen.","filler","ja","nein",2
125,100,".",".",".","Die Abgeordneten*diskutierten*über das*Thema*und*fanden*einen guten Kompromiss.","filler","ja","nein",2
126,100,".",".",".","Die Gruppe*bastelte*mit den*Perlen,*jedoch*langweilten*sie sich*sehr.","filler","ja","nein",2
